Winner,Pts,Loser,Pts
West Virginia,24,Texas Christian,21
Western Michigan,42,Ball State,24
Wyoming,35,New Mexico,26
Jacksonville State,45,Middle Tennessee State,30
New Mexico State,34,Florida International,17
Liberty,21,Sam Houston,16
Western Kentucky,35,Louisiana Tech,28
Nebraska,20,Illinois,7
Oklahoma State,29,Kansas State,21
(11) Alabama,26,Texas A&M,20
Alabama-Birmingham,56,South Florida,35
Boise State,35,San Jose State,27
Boston College,27,Army,24
Buffalo,37,Central Michigan,13
Clemson,17,Wake Forest,12
Colorado,27,Arizona State,24
Connecticut,38,Rice,31
Eastern Michigan,24,Ball State,10
Florida,38,Vanderbilt,14
Florida Atlantic,20,Tulsa,17
(5) Florida State,39,Virginia Tech,17
(1) Georgia,51,(20) Kentucky,13
Georgia Tech,23,(17) Miami (FL),20
Iowa,20,Purdue,14
Iowa State,27,Texas Christian,14
Kansas,51,Central Florida,22
Louisiana,34,Texas State,30
(23) Louisiana State,49,(21) Missouri,39
(25) Louisville,33,(10) Notre Dame,20
Miami (OH),27,Bowling Green,0
(2) Michigan,52,Minnesota,10
(16) Mississippi,27,Arkansas,20
Mississippi State,41,Western Michigan,28
Navy,27,North Texas,24
(14) North Carolina,40,Syracuse,7
North Carolina State,48,Marshall,41
Northern Illinois,55,Akron,14
Northwestern,23,Howard,20
Ohio,42,Kent State,17
(4) Ohio State,37,Maryland,17
(12) Oklahoma,34,(3) Texas,30
Old Dominion,17,Southern Mississippi,13
(15) Oregon State,52,California,40
South Alabama,55,Louisiana-Monroe,7
(9) Southern California,43,Arizona,41
Texas Tech,39,Baylor,14
Texas-San Antonio,49,Temple,34
Toledo,41,Massachusetts,24
Troy,37,Arkansas State,3
UCLA,25,(13) Washington State,17
Utah State,44,Colorado State,24
Virginia,27,William & Mary,13
Wisconsin,24,Rutgers,13
Wyoming,24,(24) Fresno State,19
Coastal Carolina,27,Appalachian State,24
Liberty,31,Jacksonville State,13
Middle Tennessee State,31,Louisiana Tech,23
New Mexico State,27,Sam Houston,13
Texas-El Paso,27,Florida International,14
Houston,41,West Virginia,39
Southern Methodist,31,East Carolina,10
Fresno State,37,Utah State,32
Stanford,46,Colorado,43
Tulane,31,Memphis,21
Air Force,34,Wyoming,27
(11) Alabama,24,Arkansas,21
Arizona,44,(19) Washington State,6
Bowling Green,24,Buffalo,14
Central Michigan,17,Akron,10
Colorado State,31,Boise State,30
(17) Duke,24,North Carolina State,3
Eastern Michigan,28,Kent State,14
Florida,41,South Carolina,39
Florida Atlantic,56,South Florida,14
(4) Florida State,41,Syracuse,3
(1) Georgia,37,Vanderbilt,20
Georgia State,41,Marshall,24
Illinois,27,Maryland,24
Iowa,15,Wisconsin,6
Iowa State,30,Cincinnati,10
James Madison,41,Georgia Southern,13
Kansas State,38,Texas Tech,21
(22) Louisiana State,48,Auburn,18
Miami (OH),34,Western Michigan,21
(2) Michigan,52,Indiana,7
Missouri,38,(24) Kentucky,21
Navy,14,Charlotte,0
Nevada-Las Vegas,45,Nevada,27
(12) North Carolina,41,(25) Miami (FL),31
North Texas,45,Temple,14
Northern Illinois,23,Ohio,13
(21) Notre Dame,48,(10) Southern California,20
(3) Ohio State,41,Purdue,7
Oklahoma State,39,(23) Kansas,32
(15) Oregon State,36,(18) UCLA,24
(6) Penn State,63,Massachusetts,0
Pittsburgh,38,(14) Louisville,21
Rutgers,27,Michigan State,24
San Diego State,41,Hawaii,34
San Jose State,52,New Mexico,24
(19) Tennessee,20,Texas A&M,13
Texas Christian,44,Brigham Young,11
Texas State,21,Louisiana-Monroe,20
Texas-San Antonio,41,Alabama-Birmingham,20
Toledo,13,Ball State,6
Troy,19,Army,0
(16) Utah,34,California,14
Virginia Tech,30,Wake Forest,13
(7) Washington,36,(8) Oregon,33
Jacksonville State,20,Western Kentucky,17
Liberty,42,Middle Tennessee State,35
South Alabama,55,Southern Mississippi,3
Florida International,33,Sam Houston,27
New Mexico State,28,Texas-El Paso,7
James Madison,20,Marshall,9
Rice,42,Tulsa,10
Southern Methodist,55,Temple,0
(22) Air Force,17,Navy,6
(11) Alabama,34,(17) Tennessee,20
Ball State,24,Central Michigan,17
Baylor,32,Cincinnati,29
Boston College,38,Georgia Tech,23
Bowling Green,41,Akron,14
Brigham Young,27,Texas Tech,14
Buffalo,24,Kent State,6
Charlotte,10,East Carolina,7
Coastal Carolina,27,Arkansas State,17
(4) Florida State,38,(16) Duke,20
Georgia Southern,38,Louisiana-Monroe,28
Georgia State,20,Louisiana,17
Kansas State,41,Texas Christian,3
(19) Louisiana State,62,Army,0
Memphis,45,Alabama-Birmingham,21
Miami (FL),28,Clemson,20
(2) Michigan,49,Michigan State,0
Minnesota,12,(24) Iowa,10
(13) Mississippi,28,Auburn,21
Mississippi State,7,Arkansas,3
(20) Missouri,34,South Carolina,12
Nebraska,17,Northwestern,9
Nevada,6,San Diego State,0
Nevada-Las Vegas,25,Colorado State,23
New Mexico,42,Hawaii,21
Northern Illinois,20,Eastern Michigan,13
Ohio,20,Western Michigan,17
(3) Ohio State,20,(7) Penn State,12
(6) Oklahoma,31,Central Florida,29
Oklahoma State,48,West Virginia,34
Old Dominion,28,Appalachian State,21
